class_name,train_positives,train_total,train_rate,val_positives,val_total,val_rate,test_positives,test_total,test_rate
bell_ringing,1780,116950,0.015220179563916204,299,25733,0.011619321493801734,462,25556,0.018077946470496164
coffee_machine,4931,116950,0.04216331765711843,1050,25733,0.040803637352815454,917,25556,0.035881984661136325
cutlery_dishes,8192,116950,0.07004702864471997,1881,25733,0.07309680177204368,1903,25556,0.07446392236656754
door_open_close,5768,116950,0.04932022231722959,1266,25733,0.04919752846539463,1313,25556,0.05137736735013304
footsteps,17875,116950,0.15284309533988885,3831,25733,0.14887498542727237,3979,25556,0.15569729222100484
keyboard_typing,11624,116950,0.09939290294997863,2729,25733,0.1060505965103175,2515,25556,0.09841133197683519
keychain,6829,116950,0.05839247541684481,1150,25733,0.044689698053083586,1457,25556,0.057012051964313665
light_switch,729,116950,0.006233433091064558,179,25733,0.0069560486534799675,139,25556,0.005439035842854907
microwave,8915,116950,0.07622915775972638,2329,25733,0.09050635370924494,1923,25556,0.0752465174518704
phone_ringing,8179,116950,0.06993587002992732,1624,25733,0.06310962577235456,2124,25556,0.08311159805916418
running_water,15686,116950,0.13412569474134245,3231,25733,0.12555862122566355,3918,25556,0.15331037721083113
toilet_flushing,4296,116950,0.03673364685763147,1096,25733,0.0425912252749388,976,25556,0.03819064016277978
vacuum_cleaner,8002,116950,0.06842240273621206,1736,25733,0.06746201375665488,1714,25556,0.06706839881045547
wardrobe_drawer_open_close,3145,116950,0.02689183411714408,849,25733,0.03299265534527649,574,25556,0.022460478948192204
window_open_close,1968,116950,0.0168277041470714,483,25733,0.018769673182295107,460,25556,0.01799968696196588
