hidden_dims,dropout,lr,macro_ap,micro_ap,runtime_s,epochs,ap_bell_ringing,ap_coffee_machine,ap_cutlery_dishes,ap_door_open_close,ap_footsteps,ap_keyboard_typing,ap_keychain,ap_light_switch,ap_microwave,ap_phone_ringing,ap_running_water,ap_toilet_flushing,ap_vacuum_cleaner,ap_wardrobe_drawer_open_close,ap_window_open_close,seed
512-256,0.45,0.001,0.5993694067001343,0.6939282782723875,57.67584776878357,43,0.4769456088542938,0.6573161482810974,0.7613184452056885,0.4670945703983307,0.6434227228164673,0.8599657416343689,0.7058087587356567,0.1181157454848289,0.7405756711959839,0.7229851484298706,0.8309183716773987,0.6468411684036255,0.7741819024085999,0.3075524866580963,0.2774995267391205,42.0
512-256,0.45,0.001,0.5993694067001343,0.6939282782723875,67.08794069290161,43,0.4769456088542938,0.6573161482810974,0.7613184452056885,0.4670945703983307,0.6434227228164673,0.8599657416343689,0.7058087587356567,0.11811574548482895,0.7405756711959839,0.7229851484298706,0.8309183716773987,0.6468411684036255,0.7741819024085999,0.3075524866580963,0.2774995267391205,42.0
768-384,0.45,0.001,0.5973041653633118,0.6931234678468458,53.01431059837341,33,0.4110075533390045,0.6669163107872009,0.7593477368354797,0.4742061495780945,0.6527300477027893,0.8657085299491882,0.7116770148277283,0.12050096690654755,0.7187416553497314,0.722780168056488,0.8317527174949646,0.6576728820800781,0.7662476301193237,0.3139614164829254,0.28631213307380676,42.0
1024-512,0.4,0.0007,0.59675133228302,0.6952879321991496,47.23816156387329,29,0.436473548412323,0.6403079032897949,0.7576664090156555,0.4739098846912384,0.6587799787521362,0.8540671467781067,0.6952837705612183,0.1177932918071746,0.7354884147644043,0.7186195850372314,0.8267541527748108,0.6373549103736877,0.7734987139701843,0.3206142485141754,0.304657906293869,42.0
512-256,0.47,0.001,0.5966197848320007,0.6937958141691728,64.47963547706604,43,0.4576413631439209,0.6622068285942078,0.758251965045929,0.47496241331100464,0.637150764465332,0.865476667881012,0.6974698901176453,0.12191317975521088,0.7292632460594177,0.7189928889274597,0.8352212309837341,0.6476749181747437,0.7681371569633484,0.29872557520866394,0.27620863914489746,42.0
1024-512,0.35,0.001,0.5964975357055664,0.69776650644412,50.233282804489136,31,0.4501373171806335,0.628040075302124,0.7593859434127808,0.4697939157485962,0.6647028923034668,0.8579017519950867,0.6883182525634766,0.1110110059380531,0.7296062707901001,0.7227513194084167,0.828080415725708,0.6430875658988953,0.7865331768989563,0.3076031804084778,0.3005107641220093,42.0
1024-512,0.45,0.001,0.5962188839912415,0.6926351215040657,40.930617332458496,25,0.4388447701931,0.6495977640151978,0.750954806804657,0.4702644646167755,0.6512777805328369,0.8613978624343872,0.6949270963668823,0.112967275083065,0.7255632877349854,0.7202896475791931,0.8328938484191895,0.6475624442100525,0.7792199850082397,0.3042226731777191,0.3032986521720886,42.0
512-256,0.45,0.001,0.5960748195648193,0.6908133908760927,55.49782633781433,38,0.44967833161354065,0.6287843585014343,0.7446059584617615,0.4635021984577179,0.6472375392913818,0.8626284003257751,0.7139044404029846,0.11789707094430923,0.7295953035354614,0.7319616079330444,0.8287973403930664,0.643338680267334,0.7917201519012451,0.3017307221889496,0.28573936223983765,123.0
512-256,0.45,0.0007,0.5959939360618591,0.6984953418297769,56.20506286621094,38,0.42641565203666687,0.6422646045684814,0.7548054456710815,0.4732445478439331,0.6460959315299988,0.8694157004356384,0.7069255113601685,0.12790411710739136,0.7331762909889221,0.7097423672676086,0.8294755816459656,0.6568774580955505,0.7764230370521545,0.31141531467437744,0.2757266163825989,42.0
1024-512,0.4,0.001,0.5958205461502075,0.6992758072618077,44.80559468269348,28,0.4503273963928222,0.6257609724998474,0.762483537197113,0.468197226524353,0.658035933971405,0.8640528917312622,0.6858307123184204,0.1051617786288261,0.7454776763916016,0.710954487323761,0.8290743231773376,0.646270751953125,0.78288733959198,0.3084182441234588,0.2943752408027649,7.0
1536-768,0.4,0.001,0.5957764387130737,0.6954518149056522,47.23443984985352,24,0.4592818319797516,0.612794041633606,0.7463199496269226,0.4603102803230285,0.6564279198646545,0.8603537678718567,0.7018927931785583,0.1142321079969406,0.7286078333854675,0.7058244347572327,0.837356686592102,0.6488356590270996,0.7733221650123596,0.3145115077495575,0.3165760934352875,42.0
